右肺下叶前基段磨玻璃影,慢性炎症可能	肺磨玻璃结节
右肝内胆管局限性扩张	胆管扩张
甲状腺右叶钙化灶	甲状腺钙化灶
多发性左肾囊肿,大者伴囊壁钙化	肾囊肿
右肺钙化灶	肺钙化灶
甲状腺多发结节(左叶结节伴钙化)	甲状腺结节
双肺上叶胸膜下散在少许慢性炎症	肺慢性炎症
淋巴细胞百分比增高	淋巴细胞百分比增高
右上肺纤维化	肺纤维化
双肺间质病变,部分肺间质纤维化及末梢支气管扩张	支气管扩张
双肺散在少许慢性炎症	肺慢性炎症
左肝胆管多发结石	胆管结石
甲状腺左叶低回声结节伴沙砾样钙化,TI-RADS4B类	甲状腺结节 TI-RADS 4b类
右下肺硬结钙化灶	肺钙化灶
双肺散在少许慢性炎症性病灶	肺慢性炎症
扫及双侧筛窦及蝶窦少许炎症	鼻窦炎
右侧上颌窦、筛窦炎症	筛窦炎
听力右侧耳聋	耳聋
甲状腺双侧叶等回声结节,考虑结节性甲状腺肿	结节性甲状腺肿
右侧乳腺低回声区,脂肪团？	乳腺脂肪团？
甲状腺左叶混合回声结节,腺瘤囊性变？	甲状腺腺瘤？
胆囊息肉样病变可能,结石待排除	胆囊结石？、胆囊息肉
右侧乳腺低回声结节,BI-RADS3类	乳腺结节 BI-RADS 3类
考虑慢性支气管炎、肺气肿、左肺下叶外基底段纤维小结节	慢性支气管炎、肺气肿、肺纤维结节
甲状腺左叶低至无回声结节	甲状腺结节
C3-4、C4-5、C5-6椎间盘突出(中央型)并C5-6段椎管狭窄	颈椎间盘突出
双侧筛窦、左侧蝶窦慢性炎症	鼻窦炎
考虑右上肺陈旧性结核灶,纵隔内及双肺门淋巴结钙化	陈旧性肺结核、肺陈旧性病灶
球结膜翼状胬肉	翼状胬肉
残余甲状腺实质回声增粗	甲状腺实质回声增粗
双眼年龄相关性白内障(皮质性、膨胀期)	白内障
脾门区等回声结节,副脾？	副脾
甲状腺左侧叶结节,TI-RADS3类	甲状腺结节 TI-RADS 3类
双侧乳腺低回声结节,考虑纤维腺瘤	乳腺纤维瘤
餐后胆囊	餐后胆囊
C4/5、C5/6、C6/7椎间盘膨隆	颈椎间盘膨出
左肝可疑低回声区	肝低回声区
左肝多发性囊肿	肝囊肿
双侧肺气肿	肺气肿
频发室性早搏(并行心律性)伴钩拢现象	室性早搏
右侧上颌窦、筛窦炎症,慢性鼻炎	筛窦炎、慢性鼻炎
自诉甲状腺右叶切除术后,残余甲状腺左叶结节	甲状腺结节
甲状腺右叶等回声结节,腺瘤？	甲状腺腺瘤？
前列腺部分切除术后	前列腺部分切除术后
右肺下叶背段毛玻璃影,考虑炎症所致	肺炎性改变
左上肺胸膜增厚粘连伴钙化,纵隔淋巴结钙化	胸膜增厚
甲状腺多发实性及混合性结节(TI-RADS3类)	甲状腺结节 TI-RADS 3类
左肝低回声结节,局灶性肝脂肪浸润缺失？肝血管瘤？	肝血管瘤？
左肝内可疑稍高回声结节,肝血管瘤？	肝血管瘤？
右中肺陈旧病灶	肺陈旧性病灶
胆囊壁增厚,考虑胆囊炎	胆囊炎
右肺上叶前段少许慢性炎症	肺慢性炎症
子宫下段剖腹产手术切口处无回声区,考虑手术切口憩室	憩室
双附件左侧附件区触及一肿物约4.0cm×3.0cm大小、质软、活动尚可、无压痛	附件区触及肿物
扫及肝内多发囊肿可能	肝囊肿
血清甲状腺素(T4)增高	血清甲状腺素(T4)增高
腰椎退行性改变,L3/4、L4/5、L5/S1椎间盘凸出	腰椎间盘突出
自诉甲状腺部分切除术后,甲状腺左叶及峡部未探及,残余甲状腺右叶多发结节,考虑结节性甲状腺肿	结节性甲状腺肿
右肺中叶小斑片状高密度影,考虑为慢性炎症	肺慢性炎症
左肾囊肿伴钙化	肾囊肿
右侧附件区混合回声团块,考虑右侧卵巢畸胎瘤	卵巢畸胎瘤
左侧放射冠区缺血灶可能	脑缺血灶可能
甲状腺双侧叶增大伴血流信号稍增多	甲状腺增大
腰椎退行性改变,L3/4椎间盘膨出,L4/5、L5/S1椎间盘突出	腰椎间盘膨出
颈椎退行性变,C4/5及C5/6椎间盘膨出	颈椎椎间盘膨出、颈椎退行性改变
左侧乳腺低至无回声结节(BI-RADS2类)	乳腺结节 BI-RADS 2类
双侧乳腺轻度增生伴右乳局部导管扩张	乳腺增生、乳腺导管扩张
右肝高回声结节	肝结节
双侧颈动脉内-中膜增厚伴多发斑块形成(左侧低回声斑块可能为溃疡型斑块)	颈动脉内-中膜增厚、颈动脉斑块形成
完全性左束支阻滞伴继发性ST-T改变	ST-T改变
左肺下叶及右肺中叶陈旧性病灶,较前相仿	肺陈旧性病灶
肝左叶内侧段小斑片无强化灶,考虑为囊肿	肝囊肿
左侧甲状腺区不规则软组织密度影,增大的淋巴结可能	甲状腺增大
颈4-6椎体骨质增生及颈5-6椎间隙轻度变窄	骨质增生
右侧第3-6肋骨陈旧性骨折	骨折
右肺尖少许陈旧病灶,双肺尖胸膜增厚粘连	胸膜增厚、肺陈旧性病灶
右肝低回声区,考虑不均匀脂肪肝	脂肪肝
胆囊底部壁增厚,考虑胆囊腺肌增生症可能	胆囊肌腺症
甲状腺左叶多发结节,(TI-RADS2类)	甲状腺结节 TI-RADS 2类
残余甲状腺左叶实质回声增粗不均,桥本氏甲状腺炎？	甲状腺回声增粗
甲状腺左叶多发囊实性结节、右叶实性结节(TI-RADS3类)	甲状腺结节 TI-RADS 3类
右侧乳腺多发低回声结节	乳腺结节
尿白细胞(高倍视野)增高	尿白细胞(高倍视野)增高
右上颌窦粘膜下囊肿、筛窦炎	筛窦炎、上颌窦囊肿
T波改变(II、III、aVF、V4)	T波改变
双侧甲状腺多发结节,考虑结节性甲状腺肿	结节性甲状腺肿
胆囊壁局限性增厚,胆囊腺肌症？	胆囊肌腺症？
L3-4、L4-5、L5-S1椎间盘膨隆,继发L4-5段椎管狭窄	腰椎间盘膨出
胆囊多发性结石	胆囊结石
双肺散在慢性炎症,双上肺局灶肺气肿,较前大致相仿	肺气肿
甲状腺右侧叶低回声结节伴钙化(TI-RADS3类)	甲状腺结节 TI-RADS 3类
右乳低回声结节,性质待定	乳腺结节
左肺上叶尖后段环形磨玻璃影,考虑感染所致	肺磨玻璃结节
双肺上叶慢性炎症并双侧胸膜肥厚粘连	胸膜粘连
甲状腺左叶多发结节	甲状腺结节
子宫多发低回声结节,多发性子宫肌瘤？	子宫肌瘤？
中度脂肪肝	脂肪肝
宫颈息肉约0.2cmX0.2cm大小	宫颈息肉
双肾结石	肾结石
右肺上叶陈旧性病灶	肺陈旧性病灶
附件右侧附件区增厚,无压痛	附件区增厚
右侧间隔旁肺气肿	肺气肿
右肺上叶前段、左肺上叶上舌段纤维小结节	肺纤维结节
左肝多发囊肿	肝囊肿
甲状腺双侧叶实性结节,右叶多发(TI-RADS3类)	甲状腺结节 TI-RADS 3类
肝多发稍高回声结节,考虑血管瘤可能	肝血管瘤？
子宫腔内高回声结节,考虑子宫内膜息肉	子宫内膜息肉？
右膝关节骨质增生及关节间隙稍变窄	骨质增生
甲状腺峡部近左侧叶低回声结节	甲状腺结节
腰3-5椎体前缘骨质增生及腰5-骶1椎间隙稍变窄	腰椎骨质增生
右上肺小钙化灶	肺钙化灶
右上肺少许硬结灶	肺硬结灶？
子宫增大约妊娠2个多月大小,质硬	子宫增大
甲状腺左叶等回声结节,结节性甲状腺肿？	结节性甲状腺肿？
自诉右侧卵巢囊肿切除术后	卵巢囊肿
颈后皮下软组织等回声结节,脂肪瘤？	脂肪瘤
双肾多无回声区	肾无回声区
肝右叶多发稍高回声结节,考虑肝血管瘤	肝血管瘤
双侧乳腺低回声结节,考虑BI-RADS3类	乳腺结节 BI-RADS 3类
甲状腺峡部稍偏右侧实性结节(TI-RADS3类)	甲状腺结节 TI-RADS 3类
甲状腺右叶内无回声结节,考虑滤泡增生	甲状腺结节
双侧乳腺多发低回声结节,BI-RADS3类	乳腺结节 BI-RADS 3类
双侧乳腺局部导管扩张伴导管内结节(BI-RADS3类-考虑导管内乳头状瘤)	乳腺结节 BI-RADS 3类
考虑右肩关节退行性改变	肩关节退行性改变
右肺上叶后段慢性炎症	肺慢性炎症
甲状腺内多发无回声结节,考虑滤泡增生	甲状腺结节
右肺下叶内基段支气管扩张,管腔内痰液栓可能	支气管扩张
颈椎功能性改变及颈3-4、4-5、5-6椎间隙前缘变窄	颈椎功能性改变
前列腺增大伴结石	前列腺增大伴结石
子宫前壁稍低回声区,肌瘤？	子宫肌瘤？
肝右后叶实性结节,考虑肝血管瘤	肝血管瘤
左侧乳腺多发等回声结节(BI-RADS3类)	乳腺结节 BI-RADS 3类
右肾含脂小结节	肾结节
颈椎退行性变。C3/4水平后纵韧带钙化	颈椎退行性改变
甲状腺弥漫性病变,结合临床考虑桥本氏甲状腺炎	桥本甲状腺炎
肝右叶多发低回声区,局灶性肝脂肪浸润缺失可能,大者肝血管瘤待除外	肝血管瘤？
右侧颈动脉多发斑块形成	颈动脉斑块形成
右肺中叶、左肺上叶舌段及双肺下叶少许慢性炎症,较2018-02-26)对比病灶有所增多	肺慢性炎症
甲状腺右叶结节,TI-RADS3级	甲状腺结节 TI-RADS 3类
晶状体右眼后囊下方一空泡样改变	晶状体混浊
考虑双下肺陈旧病灶,伴胸膜增厚粘连	胸膜增厚、肺陈旧性病灶
左肝内叶低回声结节,考虑占位性病变	肝占位性病变
右肝内多发高回声区,性质待定	肝高回声区
颈椎退行性变,C3/4、C4/5、C5/6椎间盘轻微突出	颈椎间盘突出、颈椎退行性改变
二尖瓣、三尖瓣、肺动脉瓣返流+	肺动脉瓣反流、二尖瓣反流、肺动脉瓣反流
左侧乳腺乳晕下方低回声结节,纤维腺瘤？	乳腺纤维瘤？、乳腺结节
右肺上、中叶及左肺上叶少许慢性炎症	肺慢性炎症
考虑左侧上颌窦粘液样囊肿	上颌窦囊肿
左肺尖部少许陈旧病灶	肺陈旧性病灶
肝右叶多发实性结节,考虑肝血管瘤	肝血管瘤
双肺胸膜下少量肺大泡	肺大泡
右侧乳腺约11点处实性结节(BI-RADS3类)	乳腺结节 BI-RADS 3类
左侧附件区无回声区,卵泡可能	卵泡
外科既往史胆囊切除术(结石、微创)	胆囊结石
尿二水合草酸钙结晶增高	尿二水合草酸钙结晶增高
扫及左侧肾上腺结节状增粗	肾上腺结节
右肾中部无回声区,右肾囊肿？	肾囊肿？
双侧乳腺低回声结节,考虑纤维腺瘤	乳腺纤维瘤？、乳腺结节
甲状腺左叶近峡部无回声结节,考虑滤泡增生	甲状腺结节
颈椎功能性改变	颈椎功能性改变
双侧额叶及右侧放射冠区多发小缺血灶	脑缺血灶
右侧桥小脑角区占位伴梗阻性脑积水	脑积水
双侧筛窦、蝶窦、额窦慢性炎症	鼻窦炎
慢性胆囊炎、胆囊多发结石	胆囊结石、慢性胆囊炎
甲状腺结节(右叶多发),考虑结节性甲状腺肿	结节性甲状腺肿
双眼可见区考虑视网膜玻璃膜疣	玻璃膜疣
结合膜右眼翼状胬肉(进展期)	翼状胬肉
胆囊多发性结石？	胆囊结石？
考虑右下肺纤维机化灶	肺纤维灶
右侧桥小脑角区占位伴梗阻性脑积水	脑积水
自诉甲状腺右叶大部切除术后	甲状腺切除术后
晶状体双眼白内障轻度	白内障
双侧基底节区多发腔隙性脑梗塞,脑萎缩	脑梗塞、脑萎缩
左侧第2、4、5肋骨骨折	骨折
甲状腺左叶多发低回声结节伴钙化,TI-RADS4A类	甲状腺结节 TI-RADS 4a类
右肺中叶内侧段小结节影	肺结节
右肝前叶低回声结节,考虑肝血管瘤？	肝血管瘤？
符合鼻炎、筛窦炎	筛窦炎、鼻炎
右肝内高回声斑	肝高回声区
房性早搏(呈成对)	房性早搏
双侧颈动脉内-中膜增厚伴左侧颈总动脉斑块形成	颈动脉内-中膜增厚、颈动脉斑块形成
左侧乳腺低至无回声结节、右侧乳腺无回声区,考虑乳腺局部导管扩张	乳腺结节
右侧丘脑及左侧基底节区腔隙性脑梗塞灶	脑梗塞
右侧胸膜粘连,左侧膈面抬高	胸膜粘连
左肾积水、左输尿管上段扩张	肾积水
鼻变应性鼻炎、左侧下鼻甲肥厚	变应性鼻炎、下鼻甲肥厚
红外线扫描影像双乳腺腺体稍增厚	乳腺腺体增厚
左肾无回声区,考虑肾盂源性囊肿	肾囊肿
自诉左侧卵巢巧克力囊肿术后,左侧卵巢未探及	卵巢巧克力样囊肿
双眼屈光不正(右眼中度近视+散光,左眼中度近视)	屈光不正
全血低切粘度(3/S)增高	全血低切粘度(3/S)增高
双侧基底节、放射冠区多发腔隙性脑梗塞	脑梗塞
左上肺少许陈旧病灶,左下肺胸膜增厚粘连伴钙化	胸膜增厚、肺陈旧性病灶
肝左叶胆囊旁低回声区,考虑非均匀性脂肪肝	不均匀性脂肪肝
右肝内低回声结节,肝血管瘤待排除	肝血管瘤？
右肺中叶慢性炎症	肺慢性炎症
左肺上叶下舌段少许慢性炎症	肺慢性炎症
PGII增高	PGII增高
双侧乳腺低回声结节,双侧乳腺增生	乳腺增生
左侧乳腺实性结节伴钙化(BI-RADS4A类)	乳腺结节 BI-RADS 4A类
左肺下舌段、右下肺少许纤维机化灶	肺纤维灶
考虑盆腔区静脉石	盆腔区静脉石
右肺尖、双肺下叶散在少许慢性炎症性病变	肺慢性炎症
鼻变应性鼻炎、鼻前庭粘膜糜烂充血	变应性鼻炎、鼻粘膜糜烂、鼻粘膜充血
鼻变应性鼻炎、双下鼻甲肥厚	变应性鼻炎、下鼻甲肥厚
外周血管右下肢轻度静脉曲张	下肢静脉曲张
扫及左侧额窦、双侧筛窦及双侧上颌窦炎症	上颌窦炎
子宫多发低回声结节(子宫多发肌瘤？)	子宫肌瘤？
左下肺局限性肺气肿	肺气肿
外科既往史胆囊结石术后(微创)(具体情况不详)	胆囊结石
甲状腺实质回声增粗伴左侧叶低回声结节	甲状腺回声增粗
腹主动脉硬化伴多发斑块形成	动脉硬化
血浆凝血酶原时间PT-INR降低	血浆凝血酶原时间PT-INR降低
甲状腺右叶多发低回声结节,结节性甲状腺肿可能	结节性甲状腺肿？
肝实质回声增粗伴多发结节形成,考虑肝硬化	肝硬化
右侧附件区无回声区,考虑生理性囊肿	卵巢囊肿
双肺上叶、右肺下叶背段继发性肺结核(以纤维化、钙化为主),支气管扩张	支气管扩张、继发型肺结核
双肺上叶间隔旁肺气肿、肺大泡	肺气肿肺大泡
子宫多发稍高回声结节,考虑多发性子宫肌瘤	子宫肌瘤？
右下肺少许陈旧病灶	肺陈旧性病灶
甲状腺右叶低回声结节伴钙化	甲状腺结节
甲状腺左叶多发囊性结节(TI-RADS:2类)	甲状腺结节 TI-RADS 2类
C5/6椎间盘突出(中央偏右型)	颈椎间盘突出
肝左叶低回声区,局灶性肝脂肪浸润缺失？血管瘤？	肝血管瘤？
考虑双下肺胸膜下数个纤维小结节	肺纤维结节
左肺散在数个纯磨玻璃结节	肺磨玻璃结节
肝多发稍高回声结节,考虑多发性肝血管瘤可能	肝血管瘤？
甲状腺实质回声增粗伴左叶稍低回声结节	甲状腺回声增粗
肝右叶低回声结节(血管瘤？肝脂肪低浸润？)	肝血管瘤？
右下肺磨玻璃小结节	肺磨玻璃结节
甲状腺右叶低回声结节伴粗大钙化(TI-RADS3类)	甲状腺结节 TI-RADS 3类
肝实质回声增粗,分布不均,肝硬化？	肝硬化
颈椎退行性改变,C3-4椎间盘膨隆	颈椎退行性改变
右侧乳腺多发无回声区,囊性增生？	乳腺囊性增生
右肺上叶后段、双肺下叶散在慢性炎症性病灶	肺慢性炎症
子宫稍低回声区,子宫肌瘤？	子宫肌瘤？
双侧椎动脉硬化伴走行扭曲	动脉硬化
双肺慢性炎症,并右肺中叶内侧段、左肺上叶舌段部分膨胀不全、支气管扩张,左上胸膜增厚粘连	支气管扩张、肺慢性炎症
胆囊稍增大	胆囊增大
甲状腺右叶低回声结节伴粗大钙化	甲状腺结节
甲状腺左叶近峡部极低回声结节,TI-RADS4A类	甲状腺结节 TI-RADS 4a类
右肺斑片状密度增高影,考虑慢性炎症	肺慢性炎症
甲状腺左叶多发无回声结节,考虑滤泡增生	甲状腺结节
脾脏富血供占位,考虑为血管瘤	肝血管瘤
双肺多发炎症性病变及小结节	肺结节
子宫低回声结节,考虑子宫小肌瘤	子宫肌瘤？
双侧附件区无回声区,卵巢囊肿？	卵巢囊肿
甲状腺左叶多发囊实性团块(TI-RADS3类)	甲状腺结节 TI-RADS 3类
两上肺肺大泡	肺大泡
左肺上叶前段斑片状磨玻璃影,考虑慢性炎症病灶	肺磨玻璃结节
CD8增高	CD8增高
甲状腺左侧叶切除术后,残余甲状腺右侧叶囊性结节(TI-RADS2类)	甲状腺结节 TI-RADS 2类
左侧蝶窦慢性炎症	鼻窦炎
筛窦炎症、鼻炎,左上颌窦粘膜下囊肿	筛窦炎、鼻炎
两肺下叶散在慢性炎症	肺慢性炎症
甲状腺多发等回声结节(TI-RADS2类)	甲状腺结节 TI-RADS 2类
甲状腺峡部偏右叶囊性结节(TI-RADS2类)	甲状腺结节 TI-RADS 2类
右乳近等回声结节	乳腺结节
EB-Na1-IgA阳性	EB-Na1-IgA阳性
右肝低回声区,考虑局灶性肝脂肪浸润缺失	局灶性脂肪肝
肝内多发无回声区,考虑多囊肝	多囊肝
双侧基底节及双侧放射冠区少许缺血灶	脑缺血灶
甲状腺右叶低回声结节	甲状腺结节
右肺2枚磨玻璃小结节	肺磨玻璃结节
左肾稍缩小	肾囊肿
左侧乳腺低回声结节增生结节	乳腺增生
肺大泡形成	肺大泡
左肾实质内高回声结节	肾结节
双侧乳腺实性结节(左乳多发)(BI-RADS3类)	乳腺结节 BI-RADS 3类
脾轻度肿大	扁桃体肿大
单纯疱疹病毒I型IgG阳性	单纯疱疹病毒I型IgG阳性
左肝小囊肿	肝囊肿
甲状腺右侧叶囊性结节(TI-RADS2类)	甲状腺结节 TI-RADS 2类
双侧乳腺多发低回声结节,纤维腺瘤？	乳腺纤维瘤？、乳腺结节
双侧附件区无回声区,考虑卵巢囊肿(生理性)	卵巢囊肿
C3/4、C4/5椎间盘突出(中央型),C5/6、C6/7椎间盘膨出	颈椎间盘突出
右肺中叶慢性炎症,右肺中叶胸膜下小结节,较2016-6-28片相仿	肺结节
三尖瓣返流+++伴肺动脉高压	三尖瓣返流、肺动脉高压
右侧乳腺低回声结节(BI-RADS3类-考虑增生结节)	乳腺增生
子宫低回声结节,考虑子宫小肌瘤	子宫肌瘤？
甲状腺右叶多发低回声结节,考虑结节性甲状腺肿,其中大者结节伴粗大钙化,TI-RADS4A类	结节性甲状腺肿
室间隔增厚、回声不均,肥厚型非梗阻性心肌病？	室间隔增厚
右肝内等回声结节,血管瘤？	肝血管瘤？
左侧颈部多发反应性增生淋巴结	颈部淋巴结反应性增生
CD3增高	CD3增高
腰椎退行性改变,L5/S1椎间盘轻度膨出。S1椎体前上缘许莫氏结节	腰椎间盘膨出
双肺2枚纤维小结节	肺纤维结节
右肺尖少许陈旧病灶,少量肺大泡	肺大泡、肺陈旧性病灶
左肾盂囊肿	肾盂囊肿
右上肺纤维化	肺纤维化
左中肺少许陈旧病灶	肺陈旧性病灶
L5/S1椎间盘退行性改变伴左后突出	腰椎间盘突出、腰椎退行性变
右肺中叶局灶性慢性炎症性病变	肺慢性炎症
右中肺及左下肺实性小结节	肺结节
右上肺少许陈旧病灶、双肺尖少量肺大泡	肺大泡、肺陈旧性病灶
右肺术后改变,双肺散在慢性炎症伴右侧胸膜肥厚	肺慢性炎症
考虑左肺胸膜下纤维小结节	肺纤维结节
考虑双上肺前段纤维小结节	肺纤维结节
右腓骨小头与胫骨间隙内少许积液,考虑轻度损伤	腓骨损伤
腹膜后多发肿大淋巴结,需进一步检查定性	扁桃体肿大
红外线扫描影像双乳腺增生,右乳头溢乳	乳腺增生
右侧腰部皮下脂肪层内低回声结节,考虑脂肪瘤	脂肪瘤
外科既往史甲状腺右叶切除术后(颈部横行手术瘢痕长约4.5cm)	甲状腺切除术后
左肾局部积水	肾积水
相当于L2椎体压缩性改变、斑片状致密影	腰椎压缩性改变
左侧上颌窦粘膜下囊肿	上颌窦囊肿
甲状腺左侧叶下极囊实性结节伴钙化(TI-RADS3类)	甲状腺结节 TI-RADS 3类
右膝关节退行性变	膝关节退行性变
C6椎体斑片状致密影,考虑骨岛可能	骨岛可能
右肝多发高回声结节,考虑多发性肝血管瘤可能	肝血管瘤？
频发房性早搏,时呈二联律,部分成对	房性早搏
甲状腺部分切除术后	甲状腺切除术后
甲状腺右叶无回声结节,ACRTI-RADS1类	甲状腺结节 TI-RADS 1类
双肾无回声区	肾无回声区
TPSA增高	TPSA增高
镜像右位心	右位心
子宫增大,子宫多发低回声及等回声结节,肌瘤？腺肌瘤？	子宫肌瘤？
右肺中叶内段及右肺下叶后基底段纤维小结节、左肺舌叶少许纤维机化灶	肺纤维结节、肺纤维灶
右肺中叶、下叶及左肺上叶慢性炎症	肺慢性炎症
心房颤动伴快速心室率	心房颤动
左肺下叶多发微小结节	肺结节
腺苷脱氢酶测定增高	腺苷脱氢酶测定增高
甲状腺右叶稍低回声结节（TI-RADS3类）	甲状腺结节 TI-RADS 3类
左肺上叶微小结节灶	肺结节
肥胖	肥胖
甲状腺右叶结节伴钙化,TI-RADS3类	甲状腺结节 TI-RADS 3类
胆囊多发斑点状强回声,考虑结石	胆囊结石
左上下肺纯磨玻璃结节	肺磨玻璃结节
右侧乳腺多发结节	乳腺结节
左侧胸膜局部增厚	胸膜增厚
左肺继发型肺结核(纤维化、钙化为主)	继发型肺结核
L5/S1椎间盘退行性改变伴突出	腰椎间盘突出、腰椎退行性变
甲状腺左叶中部低回声结节伴钙化,TI-RADS4A	甲状腺结节 TI-RADS 4a类
甲状腺实质回声增粗,呈结节样改变	甲状腺回声增粗
左侧肾上腺似见小结节影	肾上腺结节
颈4-6椎体骨质增生及颈4-5椎间隙前缘变窄	骨质增生
双肺多发支气管扩张(右肺上叶为著)	支气管扩张
右下肺背段轻度支气管扩张,局限性肺气肿	肺气肿、支气管扩张
左侧颈动脉内中膜增厚伴左侧颈总动脉斑块形成	颈动脉内-中膜增厚、颈动脉斑块形成
右眼下眼睑倒睫,以及左眼翼状胬肉	翼状胬肉倒睫
气管前、上腔静脉后低密度影,淋巴管囊肿可能	淋巴管囊肿
双肺少许纤维机化灶	肺纤维灶
考虑两上肺陈旧性病灶	肺陈旧性病灶
室间隔及左室壁非对称性增厚,肥厚性心肌病？	肥厚性心肌病？
L4/5椎间盘退行性改变伴突出	腰椎间盘突出、腰椎退行性变
主动脉瓣退行性变伴返流+,二尖瓣返流+,三尖瓣返流+	二尖瓣反流、三尖瓣反流、主动脉瓣反流
陈旧性压缩性骨折可能,与前片相仿	陈旧性压缩性骨折可能
胆囊附壁高回声斑,息肉？	胆囊息肉？
左乳多发低回声结节,大者结节形态不规则	乳腺结节
肝多发稍低回声结节,肝多发血管瘤？	肝血管瘤？
肝内高回声结节	肝结节
左侧颈部淋巴结反应性增生	颈部淋巴结反应性增生
甲状腺稍大、血流信号明显增多,考虑甲状腺机能亢进	甲状腺机能亢进
双肺间隔旁肺气肿,较2018-4-12片相仿	肺气肿
胆囊底部局部增厚,考虑胆囊肌腺症	胆囊肌腺症
甲状腺右叶多发结节,考虑结节性甲状腺肿可能	结节性甲状腺肿？
肝内低回声及稍高回声结节,考虑血管瘤	肝血管瘤
右肺上叶后段少许慢性炎症性病灶	肺慢性炎症
频发单源性室性早搏,大部分呈三联律	室性早搏
双侧乳腺局部导管扩张(BI-RADS2类)	乳腺导管扩张
右侧乳腺低回声结节？右侧乳腺无回声结节	乳腺结节
考虑双侧大脑中动脉、颈内动脉终末段、左侧大脑前动脉及基底动脉轻度狭窄可能	大脑中动脉狭窄可能、颈内动脉狭窄可能、大脑前动脉狭窄可能、基底动脉狭窄可能
甲状腺双侧叶实性结节伴粗大钙化(TI-RADS3类)	甲状腺结节 TI-RADS 3类
右肝多发高回声结节,考虑肝多发血管瘤	肝血管瘤
户尘螨/粉尘螨(Dx)+++	户尘螨/粉尘螨(Dx)阳性+
右肺中叶少许小斑片影,考虑为慢性炎症	肺慢性炎症
左侧附件区囊实性团块,倾向良性,囊腺瘤？	附件团块
肝左叶多发性囊肿	肝囊肿
左肺下叶微小结节	肺结节
胆囊缩小伴胆囊壁增厚、毛糙	胆囊缩小、胆囊壁毛糙
肝右叶低回声结节	肝结节
双侧乳腺增生伴左乳局部导管扩张	乳腺增生、乳腺导管扩张
乙肝e抗原定量增高	乙肝e抗原定量增高
眼睑左下睑睑板腺功能障碍	睑板腺功能障碍
考虑双侧基底节、半卵圆中心多发腔隙性脑梗塞	脑梗塞
双侧乳腺多发无回声区(BI-RADS3类)	乳腺无回声区 BI-RADS 3类
右肺上叶后段磨玻璃小结节	肺磨玻璃结节
甲状腺右叶稍低回声结节,ACRTI-RADS3类	甲状腺结节 TI-RADS 3类
左肾低回声区,考虑肾柱肥大	肾柱肥大
子宫静脉曲张	子宫静脉曲张
内科既往史肾病综合症	肾病综合症
右肺及左肺下叶散在慢性炎症	肺慢性炎症
中性分叶核细胞(镜检)降低	中性分叶核细胞(镜检)降低
ST-T改变	ST-T改变
L4-5椎间盘膨出	腰椎间盘膨出
左肺下叶背段部分实性结节	肺结节
二尖瓣少量反流	二尖瓣反流
甲状腺多发等回声结节,右叶其一结节伴钙化,考虑结节性甲状腺肿	结节性甲状腺肿
颏下淋巴结可见	颏下淋巴结可见
右肾低密度影	肾低密度影
肝右叶低回声结节,考虑良性病变	肝良性病变
双侧筛窦、右侧蝶窦炎	鼻窦炎
腰2-4椎体缘轻度骨质增生	腰椎骨质增生
双侧上颌窦、双侧筛窦慢性炎症	鼻窦炎
右乳外上象限低回声结节,考虑纤维腺瘤	乳腺纤维瘤
升主动脉内径增宽,主动脉硬化伴主动脉瓣返流+	动脉硬化、主动脉瓣返流主伴+
双肺上叶多发陈旧性钙化灶	肺钙化灶、肺陈旧性病灶
左肺下舌段纤维小结节	肺纤维结节
右肺上叶胸膜下微小良性结节影,随访	肺结节
左中肺钙化性病变	肺钙化灶
子宫等回声结节,子宫肌瘤？	子宫肌瘤？
左侧乳腺等回声区(BI-RADS3类)	乳腺等回声区 BI-RADS 3类
左侧乳腺无回声区(BI-RADS2类)	乳腺无回声区 BI-RADS 2类
T波改变(II、III、aVF、V3-V6)	T波改变
右侧附件区无回声区,巧克力样囊肿？	卵巢巧克力样囊肿？
左侧乳腺低回声结节(BI-RADS2类-脂肪组织？)	乳腺结节 BI-RADS 2类
扫及肝内多发稍低密度灶	肝低密度灶
室间隔及左室后壁对称性增厚	室间隔增厚
右肺中叶、左肺上叶舌段及下叶后基段散在慢性炎症	肺慢性炎症
甲状腺右叶低回声结节,分布欠均	甲状腺结节
C5/6(向后偏左)、C6/7(向后)椎间盘突出	颈椎间盘突出
考虑左下肺纤维机化灶	肺纤维灶
双肺上叶肺气肿并多发肺大疱	肺气肿、肺大疱
右肺下叶背段孤立肺大泡	肺大泡
左肺上叶前段粟粒样结节	肺结节
双肺少量肺大泡	肺大泡
F-PSA增高	F-PSA增高
右下肺散在肺大泡	肺大泡
附件左侧附件增厚、压痛	附件增厚、附件压痛
右肺少许慢性炎症	肺慢性炎症
C4/5椎间盘轻度凸出	颈椎间盘突出
考虑两肺多个纤维小结节	肺纤维结节
左肺上叶尖后段小结节	肺结节
双肺尖部间隔旁肺气肿	肺气肿
双眼屈光不正(中度近视+散光)	屈光不正
左侧乳腺多发无回声区,考虑局限性导管扩张	乳腺导管扩张
左侧胸腔缩小。左肺肿瘤术后改变	左肺术后改变、左侧胸腔缩小
胆总管上段扩张	胆总管扩张
右肺继发性肺结核(纤维化、钙化为主)并右上胸膜增厚	胸膜增厚、继发型肺结核
